procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 158620  24283 181799    0    0     0    20  140  228  9  0 91  0  0 2020-05-25 19:42:01
 0  0  91819 158706  24283 181799    0    0     0     0   72   81  0  0 100  0  0 2020-05-25 19:42:02
 0  0  91819 158620  24283 181799    0    0     0     0   66   67  0  1 99  0  0 2020-05-25 19:42:03
 0  0  91819 158706  24283 181799    0    0     0     0  150  133  0  1 99  0  0 2020-05-25 19:42:04
 0  0  91819 158659  24283 181799    0    0     0     0  154  125  0  2 98  0  0 2020-05-25 19:42:05
 0  0  91819 159833  24356 181799    0    0     0     0  128  107  0  1 99  0  0 2020-05-25 19:42:06
 0  0  91819 158838  24356 181799    0    0     0     0  100   81  0  0 100  0  0 2020-05-25 19:42:07
 0  0  91819 158838  24356 181799    0    0     0    12  161  161  0  1 98  1  0 2020-05-25 19:42:08
 0  0  91819 158838  24356 181799    0    0     0     0  122  115  0  0 100  0  0 2020-05-25 19:42:09
 0  0  91819 158838  24356 181799    0    0     0     0   79   78  0  0 100  0  0 2020-05-25 19:42:10
 1  0  91819 158838  24166 181799    0    0     0     0  226  235  0  3 97  0  0 2020-05-25 19:42:11
 0  0  91819 158802  24166 181799    0    0     0    12  185  205  0  3 97  0  0 2020-05-25 19:42:12
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 1  0  91819 158858  24166 181799    0    0     0     0  481  432 39  6 55  0  0 2020-05-25 19:42:13
 0  0  91819 158858  24166 181799    0    0     0     0  161  139 43  1 56  0  0 2020-05-25 19:42:14
 0  0  91819 158858  24166 181799    0    0     0     0  103  103  1  0 99  0  0 2020-05-25 19:42:15
 0  0  91819 158838  24166 181799    0    0     0     0   81   71  0  0 100  0  0 2020-05-25 19:42:16
 0  0  91819 158838  24345 181799    0    0     0    16   79   90  0  0 100  0  0 2020-05-25 19:42:17
 0  0  91819 158838  24345 181799    0    0     0     0  156  138  1  1 98  0  0 2020-05-25 19:42:18
 1  0  91819 158838  24345 181799    0    0     0     0  107   98  0  0 100  0  0 2020-05-25 19:42:19
